,Provincia,Partido,Localidad,Población,ADSL,Cablemódem,Dial Up,Fibra óptica,Satelital,Wireless,Telefonía Fija,3G,4G,Link,Latitud,Longitud
120,San Juan,Angaco,Las Tapias,1563,False,False,False,False,False,False,True,False,False,70014010.0,-31.4084472492778,-68.3999429561259
121,San Juan,Angaco,Villa El Salvador,0,False,False,False,False,False,True,False,True,True,70014010.0,-31.4454020414681,-68.417640160613
122,San Juan,Angaco,Villa El Salvador - Villa Sefair,4472,False,False,False,False,False,True,False,False,False,70014020.0,-31.4454020414681,-68.417640160613
123,San Juan,Angaco,Villa Sefair (Talacasto),0,False,False,False,False,False,False,False,False,False,70014010.0,-31.4439397880938,-68.4217688171581
124,San Juan,Calingasta,Barreal,0,False,False,False,False,False,False,False,True,True,70021020.0,-31.652328851699,-69.479673849861
125,San Juan,Calingasta,Barreal - Villa Pituil,3463,False,False,True,False,False,True,True,True,False,70021010.0,-31.6528323304108,-69.4815385910816
126,San Juan,Calingasta,Calingasta,2198,False,False,False,True,False,True,True,True,False,70021020.0,-31.335410441528,-69.4273817834109
127,San Juan,Calingasta,Tamberías,988,False,False,True,False,False,True,True,True,False,70021030.0,-31.46037726198,-69.4229130996947
128,San Juan,Calingasta,Villa Pituil,0,False,False,False,False,False,False,False,False,False,70021020.0,-31.6528323304108,-69.4815385910816
129,San Juan,Capital,San Juan,109123,True,True,True,True,True,True,True,True,True,70028010.0,-31.5371970378027,-68.5250183173793
130,San Juan,Caucete,Barrio Justo P. Castro IV,589,False,False,False,False,False,False,False,False,False,70035015.0,-31.6283025583976,-68.3008272782109
131,San Juan,Caucete,Bermejo,484,False,False,False,False,True,False,True,False,False,70035010.0,-31.5918363542723,-67.6623620492559
132,Rio Negro,Pilcaniyeu,Paso Flores,0,False,False,False,False,True,False,False,False,False,62070030.0,-40.6020855452361,-70.6965424592972
133,Rio Negro,Pilcaniyeu,Pilcaniyeu,757,False,False,False,False,True,False,False,False,False,62070060.0,-41.1252901833754,-70.7216943906912
134,Rio Negro,Pilcaniyeu,Pilquiniyeu del Limay,106,False,False,False,True,False,False,False,False,False,62070070.0,-40.5448524836234,-70.0532314661515
135,Rio Negro,Pilcaniyeu,Villa Llanquín,113,False,False,False,False,True,False,False,False,False,62070080.0,-40.9239102047089,-71.0338579770764
136,Rio Negro,San Antonio,El Empalme,81,False,False,False,False,False,False,False,False,False,62077005.0,-40.706602544179,-65.0030743715644
137,Rio Negro,San Antonio,Las Grutas,4807,True,False,True,True,True,False,True,True,True,62077010.0,-40.806093320236,-65.0847019757487
138,Rio Negro,San Antonio,Playas Doradas,194,False,False,False,False,False,True,False,False,False,62077020.0,-41.6276787888305,-65.0236746017627
139,Rio Negro,San Antonio,Puerto San Antonio Este,381,True,False,False,True,True,True,True,False,False,62077030.0,-40.8008815532575,-64.8778974161853
140,Rio Negro,San Antonio,Punta Colorada,4,False,False,False,False,False,True,False,True,False,62077040.0,-41.6941221979021,-65.0245573411298
141,Rio Negro,San Antonio,Saco Viejo,8,False,False,False,False,False,True,False,False,False,62077045.0,-40.811004684265,-64.7581129382783
142,Rio Negro,San Antonio,San Antonio Oeste,16265,True,False,True,True,True,True,True,True,True,62077050.0,-40.7312945275013,-64.9552941307172
143,Rio Negro,San Antonio,Sierra Grande,7404,True,False,True,True,True,True,True,True,True,62077060.0,-41.6071863315513,-65.3534017406091
144,Rio Negro,Valcheta,Aguada Cecilio,155,False,False,False,True,True,False,False,False,False,62084010.0,-40.8478737807916,-65.8393274592303
145,Rio Negro,Valcheta,Arroyo Los Berros,168,False,False,False,False,True,False,False,False,False,62084020.0,-41.4372536416486,-66.0950773167367
146,Rio Negro,Valcheta,Arroyo Ventana,30,False,False,False,False,True,False,True,False,False,62084030.0,-41.6653937822189,-66.0860135550914
147,Rio Negro,Valcheta,Nahuel Niyeu,32,False,False,False,True,False,False,False,False,False,62084040.0,-40.504198321368,-66.5657529968209
148,Rio Negro,Valcheta,Sierra Pailemán,74,False,False,False,False,True,False,True,False,False,62084050.0,-41.1812714523245,-65.9614292512301
149,Rio Negro,Valcheta,Valcheta,3867,False,False,False,True,True,True,True,False,True,62084060.0,-40.6778617788507,-66.1653261356888
150,Salta,Anta,Apolinario Saravia,6730,False,True,False,True,True,True,True,True,True,66007010.0,-24.4402117565864,-64.0003361370349
151,Salta,Anta,Ceibalito,176,False,False,False,True,False,False,False,False,False,66007020.0,-25.1278603615752,-64.2896735059411
152,Salta,Anta,Centro 25 de Junio,877,False,False,False,False,False,False,False,True,True,66007030.0,-24.9773189675124,-63.8698564395644
153,Salta,Anta,Coronel Mollinedo,1061,False,False,False,False,True,True,False,False,True,66007040.0,-24.5136418287603,-64.0648836625582
154,Salta,Anta,Coronel Olleros,432,False,False,False,False,False,True,False,False,False,66007050.0,-25.1146923148948,-64.2258664425772
155,Salta,Anta,El Quebrachal,6536,False,True,False,True,True,True,True,True,False,66007060.0,-25.3519821824981,-64.0287963887805
156,Salta,Anta,Gaona,1883,False,True,False,True,True,False,True,False,False,66007070.0,-25.2581750325612,-64.0470243002426
