Fecha,Año,Trimestre,Provincia,Otros,veloc_muyBaja,veloc_baja,veloc_media,veloc_alta,veloc_muyAlta
2021-07-01,2021,3,Chubut,14907,25326,90332,23858,1642,1
2021-07-01,2021,3,Córdoba,9256,81859,266966,112380,459017,17306
2021-07-01,2021,3,Corrientes,5053,15303,43516,34493,33283,2171
2021-07-01,2021,3,Entre Ríos,12755,25405,98856,55416,65112,2828
2021-07-01,2021,3,Formosa,1617,12861,17440,8174,12104,599
2021-07-01,2021,3,Jujuy,2401,10876,29648,38316,29414,493
2021-07-01,2021,3,La Pampa,4152,14990,58079,12707,10350,8
2021-07-01,2021,3,La Rioja,0,2100,9264,28185,42226,385
2021-07-01,2021,3,Mendoza,50,11562,153016,70237,20502,572
2021-07-01,2021,3,Misiones,8279,22078,45009,40890,40414,1851
2021-07-01,2021,3,Neuquén,5579,11021,55425,9903,54779,3098
2021-07-01,2021,3,Río Negro,20009,11243,62160,17175,33035,963
2021-07-01,2021,3,Salta,6327,15879,95777,10855,64690,2305
2021-07-01,2021,3,San Juan,4641,7788,53188,13590,266,10
2021-07-01,2021,3,San Luis,29392,2129,11888,74435,1,16
2021-07-01,2021,3,Santa Cruz,735,15277,23699,8587,664,14
2021-07-01,2021,3,Santa Fe,16267,77586,317591,139172,281368,9261
2021-07-01,2021,3,Santiago Del Estero,898,14130,81492,12075,6621,240
2021-07-01,2021,3,Tierra Del Fuego,895,630,36507,11215,957,19
2021-07-01,2021,3,Tucumán,164,11056,78812,27286,112300,2852
2021-04-01,2021,2,Buenos Aires,9108,202976,1205444,378283,2197147,138214
2021-04-01,2021,2,Capital Federal,66,12522,219501,131792,938828,97616
2021-04-01,2021,2,Catamarca,2206,2788,13593,11769,24656,732
2021-04-01,2021,2,Chaco,7958,9857,35213,40112,44916,2294
2021-04-01,2021,2,Chubut,5172,26913,85540,20500,1111,1
2021-04-01,2021,2,Córdoba,9925,83537,257287,137906,426829,15392
2021-04-01,2021,2,Corrientes,5053,14560,42608,34597,30768,1915
2021-04-01,2021,2,Entre Ríos,16077,26735,95263,57970,59131,2453
2021-04-01,2021,2,Formosa,1618,12571,17484,8805,10610,463
2021-04-01,2021,2,Jujuy,2401,10982,30000,38515,29461,479
2021-04-01,2021,2,La Pampa,4062,15124,57643,11474,9158,5
2021-04-01,2021,2,La Rioja,19,2063,9239,28125,41794,362
2021-04-01,2021,2,Mendoza,50,11486,136929,60533,20113,560
2021-04-01,2021,2,Misiones,8279,22328,45278,42002,36696,1586
2021-04-01,2021,2,Neuquén,5645,11112,55671,11852,51213,2753
2021-04-01,2021,2,Río Negro,20009,11327,62374,18899,30716,759
2021-04-01,2021,2,Salta,6328,16100,93576,16768,56786,2081
2021-04-01,2021,2,San Juan,4641,7796,53328,12892,266,10
2021-04-01,2021,2,San Luis,36917,2129,12386,71366,1,16
2021-04-01,2021,2,Santa Cruz,735,15277,23831,8463,662,14
2021-04-01,2021,2,Santa Fe,15371,78303,328829,155798,253812,8148
2021-04-01,2021,2,Santiago Del Estero,1566,13563,81727,11170,5868,194
2021-04-01,2021,2,Tierra Del Fuego,1483,654,27611,5056,887,2
2021-04-01,2021,2,Tucumán,2680,11951,79985,28754,107013,2601
2021-01-01,2021,1,Buenos Aires,10867,204687,1212327,384925,2119947,125152
2021-01-01,2021,1,Capital Federal,126,12943,223851,139718,916808,86197
2021-01-01,2021,1,Catamarca,2196,3074,12875,10827,22429,567
2021-01-01,2021,1,Chaco,8384,11397,35114,42052,40512,1932
2021-01-01,2021,1,Chubut,4390,27858,80744,18236,1111,1
2021-01-01,2021,1,Córdoba,12677,85259,264111,146650,390684,11496
2021-01-01,2021,1,Corrientes,5453,14872,43489,35170,26156,1485
2021-01-01,2021,1,Entre Ríos,12826,25509,100822,58206,52816,1781
